stop_id,stop_code,stop_name,stop_lat,stop_lon,wheelchair_boarding
4-671,671,Quantin,47.340904,5.056952,0
4-672,672,Joffre,47.340122,5.053125,1
4-675,675,Giraud,47.335857,5.051545,0
4-676,676,Alsace,47.333969,5.052984,0
4-677,677,Reims,47.332535,5.051151,0
4-103,103,Giono,47.352161,5.048652,1
4-235,235,Bossuet,47.32148,5.036638,1
4-272,272,Bossuet,47.32069,5.036942,1
4-236,236,Zola,47.319408,5.033224,1
4-271,271,Zola,47.319241,5.034989,1
4-653,653,Rolin,47.316151,5.026628,1
4-603,603,Diebolt,47.313797,5.017244,1
4-604,604,Bourroches Eiffel,47.313286,5.012812,0
4-654,654,Patte d'Oie,47.311829,5.003819,0
4-608,608,Dadolle,47.307686,4.999219,0
4-622,622,Favier,47.305626,4.993691,0
4-623,623,Bordet,47.306187,4.995572,0
4-1047,1047,La Garande,47.243065,5.112528,1
4-655,655,Noblemaire,47.311146,4.999947,0
4-656,656,Echaillons,47.311226,4.997556,0
4-657,657,Delestraint,47.31163,4.994863,0
4-1048,1048,Silo,47.240761,5.104346,0
4-659,659,Cent Ecus,47.310226,4.996434,0
4-637,637,Clos Chauveau,47.314537,5.001122,0
4-638,638,Lycée Marcs d'Or,47.315525,4.997757,0
4-639,639,Paupion,47.31638,4.995378,0
4-640,640,CFA-BTP,47.317009,4.991081,0
4-97,97,Collège Champollion,47.332035,5.074255,0
4-127,127,Longvic Mairie,47.284592,5.062857,1
4-128,128,Blés d'Or,47.285843,5.066678,0
4-1130,1130,St-Antoine,47.274853,5.120949,0
4-132,132,Pommerets,47.294765,5.055451,1
4-133,133,Tamaris,47.296574,5.054035,1
4-134,134,Bourillot,47.299057,5.052481,1
4-137,137,Chancenotte,47.305977,5.046785,0
4-138,138,Piscine Carrousel,47.307953,5.046528,1
4-139,139,Le Nôtre,47.310364,5.045499,1
4-140,140,Princes de Condé,47.313538,5.044164,1
4-1677,1677,Jean-Jacques Rousseau,47.32478,5.044866,1
4-142,142,Bibliothèque,47.319172,5.043338,1
4-289,289,Zipfel,47.302315,5.066672,0
4-1195,1195,Bouhey,47.291656,5.058309,1
4-292,292,Le Jolivet,47.306229,5.059501,1
4-294,294,Guibaudet,47.310452,5.053708,0
4-295,295,Prison,47.312302,5.051473,0
4-296,296,De Musset,47.314327,5.048042,1
4-407,407,Ravel,47.301548,5.039918,1
4-409,409,Attiret,47.303928,5.040912,1
4-684,684,Stéarinerie,47.30479,5.034458,0
4-411,411,Blanchisseries,47.307743,5.037466,1
4-412,412,INSPE,47.310543,5.038626,1
4-413,413,Bordot,47.31237,5.039804,1
4-414,414,Dumont,47.314472,5.041551,1
4-829,829,Parc des Sports,47.3223,5.066078,1
4-391,391,Doumer,47.321918,5.061294,0
4-392,392,Strasbourg,47.321545,5.057674,1
4-393,393,SNCF Porte Neuve,47.321632,5.053946,1
4-1288,1288,Dupuis,47.3265,5.038705,1
4-212,212,Théâtre,47.321445,5.043466,1
4-78,78,Square Darcy,47.324074,5.033513,1
4-28,28,Spuller,47.32626,5.030088,1
4-29,29,Génois,47.32933,5.025027,1
4-30,30,Ziem,47.330894,5.022366,1
4-721,721,Petit Bernard,47.307114,5.034007,0
4-489,489,Place des Savoirs,47.331406,5.067364,1
4-488,488,Seguin,47.332695,5.068463,1
4-490,490,Ste-Bernadette,47.331158,5.065313,1
4-863,863,D'Alembert,47.331036,5.064009,0
4-1223,1223,De Brosses,47.324203,5.036815,1
4-493,493,Palais des Congrès,47.328587,5.052923,0
4-244,244,Mairey,47.300739,5.01704,1
4-245,245,Gambetta,47.298176,5.013881,0
4-246,246,Bazin,47.295635,5.011651,0
4-249,249,Foussets,47.288506,5.005857,0
4-250,250,Curie,47.286419,5.003861,1
4-251,251,Bicentenaire,47.285309,5.005949,1
4-253,253,Langevin,47.283604,5.009686,0
4-1349,1349,Richet,47.306396,5.015709,1
4-663,663,Roussottes,47.312317,5.006821,0
4-502,502,Croix des Valendons,47.300259,5.007515,1
4-503,503,Renan,47.298046,5.005156,1
4-504,504,Collège Chapitre,47.296066,5.003919,1
4-380,380,Bouteiller,47.326283,5.068982,1
4-476,476,Champ Prieur,47.330688,5.092654,0
4-475,475,Bons Compagnons,47.331604,5.091245,1
4-373,373,Paquier d'Aupré,47.33189,5.08791,1
4-478,478,Jacquat,47.331413,5.084536,1
4-479,479,Gauthier,47.330891,5.081172,1
4-385,385,Longènes,47.330212,5.076835,1
4-386,386,Castelnau,47.329628,5.073297,0
4-145,145,SNCF Brifaut,47.324409,5.027626,0
4-146,146,Bagatelle,47.323341,5.021999,0
4-149,149,Marmuzots,47.328159,5.012617,0
4-150,150,Fontaine aux Fées,47.329491,5.010672,1
4-151,151,Libération,47.332695,5.010276,1
4-780,780,Cottages,47.333187,5.008844,0
4-153,153,Côte aux Moines,47.337788,5.009193,0
4-154,154,Arbalétriers,47.338135,5.00357,0
4-155,155,Logis de Bourgogne,47.339008,4.998397,0
4-558,558,d'Arbaumont,47.31345,5.055144,0
4-557,557,Petites Roches,47.313339,5.057548,0
4-824,824,CREPS,47.311756,5.080746,0
4-1060,1060,Gendarmerie,47.317047,5.121797,0
4-1061,1061,Croix St-Martin,47.314793,5.120886,0
4-61,61,Quetignerot,47.309883,5.107542,0
4-13,13,Atria,47.308437,5.110034,1
4-1062,1062,Quetigny Mairie,47.312317,5.115622,0
4-1369,1369,IUT,47.309727,5.069155,0
4-1174,1174,Léchenet,47.331459,5.077376,0
4-203,203,Piscine Olympique,47.314442,5.082088,0
4-1370,1370,21ème Siècle,47.309341,5.071755,0
4-17,17,Boulanger,47.317173,5.064466,0
4-18,18,Défense,47.317299,5.062196,0
4-19,19,Creux d'Enfer,47.31776,5.057852,0
4-21,21,Lycée H. Fontaine,47.318935,5.051466,0
4-22,22,Cité Dampierre,47.319633,5.046683,0
4-83,83,Cité Dampierre,47.319408,5.045904,0
4-160,160,Lavoisier,47.284042,5.043702,0
4-510,510,Palissy,47.285526,5.019875,0
4-481,481,Les Jardins,47.33519,5.075171,0
4-480,480,Les Buttes,47.337315,5.079729,0
4-370,370,La Planchotte,47.336655,5.084024,0
4-1294,1294,Néel,47.291443,5.045916,0
4-396,396,SNCF Vincenot,47.322487,5.026284,0
4-397,397,Albert 1er,47.322475,5.019427,0
4-398,398,CH La Chartreuse,47.322105,5.010924,0
4-399,399,Gorgets,47.320564,5.008742,0
4-402,402,Bachelard,47.318825,5.001389,0
4-338,338,Jura,47.341995,5.027214,0
4-331,331,Ranelagh,47.341724,5.029213,0
4-415,415,Hoin,47.333771,5.034121,0
4-741,741,Beaune,47.331203,5.03844,0
4-306,306,Mare,47.343964,5.016891,0
4-795,795,Combottes,47.339825,5.017227,0
4-302,302,Amandiers,47.337601,5.023166,0
4-298,298,Rouen,47.331032,5.033096,0
4-34,34,Chaumière,47.33696,5.011959,0
4-35,35,Herriot,47.337906,5.010325,0
